Player,Skill Level
Max Hopp,9
Michael van Gerwen,10
Mark Webster,9
Rowby-John Rodriguez,8
Simon Whitlock,9
Steve Beaton,7
Boris Koltsov,8
Daryl Gurney,7
Gary Anderson,9
Sascha Stein,8
Robert Thornton,7
Vincent van der Voort,7
Paul Nicholson,7
Raymond van Barneveld,6
Justin Pipe,6
Mensur Suljovic,8
Ronny Huybrechts,6
Christian Perez,7
Phil Taylor,6
Jamie Lewis,7
Devon Peterson,6
Gerwyn Price,9
Christian Kist,6
Terry Jenkins,5
Jamie Caven,6
Brendan Dolan,6
Dave Chisnall,7
James Wade,7
Michael Smith,6
Dean Winstanley,5
John Weber,6
Dan Olsen,5
Scott Waites,5
Wes Newton,6
Keegan Brown,6
Mike Zuydwijk,6
Benito van de Pas,7
Kevin Painter,5
Jermaine Wattimena,6
Adrian Lewis,7
Scott Kirchner,5
Steve West,5
Peter Wright,7
Arron Monk,5
Andy Hamilton,6
Stephen Bunting,5
Lodewyk Marais,6
Nolan Arendse,6
Ian White,6
Jelle Klaasen,6
Laurence Ryder,6
Darren Webster,5
Malik Abujamal,5
Benjamin Daimoi,5
Scott Rand,5
Matt Clark,5
Kim Huybrechts,6
Lindsay Wells,6
Cristo Reyes,6
Per Laursen,6
Ronnie Baxter,5
Carlos Rodriguez,6
Dave Richardson,6
Joe Cullen,7
Stuart Kellett,6
John Part,6
Bob Sinnaeve,5
Niels Jorgen Hansen,5
Baha Mohammed,5
Mervyn King,5
Ron Miller,5
Mark McGrath,6
Ibrahim Abuta,5
Shaun Narain,6
Ron Meulencamp,5
Ryan de Vreede,5
Jan Dekker,5
Alex Hon,5
Wesley Harms,5
Anastasia Dobromyslova,6
Darin Young,5
Dirk van Duijvenbode,6
Katsuya Aiba,5
Michael Mansell,5
Steve Hine,5
Glenn Spearing,5
John Bowles,5
Morihiro Hashimoto,5
Beau Anderson,5
Larry Butler,5
Sami Sanssi,5
Royden Lam,5
Joseph Bbosa,5
John Henderson,6
Haruki Muramatsu,5
Paul Lim,5
Shahnaz Amirmoez,5
Dennis Priestley,5
Hamza Karimi,4
Scott Wollaston,4
John Michael,5
Daniel Larsson,4
Graham Filby,4
Peter Sajwani,4
Bernie Miller,4
Krzysztof Chmielewski,4
Mario Portela,4
Salmon Renyaan,4
Dennis Smith,4
Ralph McCool,4
Jim Long,4
Shane Tichowitsch,4
Andrew Gilding,4
Richie Burnett,4
Geert de Vos,5
Zsolt Meszaros,4
Johnny Haines,4
Ian Moss,4
Robbie Green,5
Kim Viljanen,6
Steve Maish,4
Bill Davis,4
Ray Carver,4
Rob Modra,4
Rie Hoshino,6
Rob Szabo,4
Radek Szaganski,5
Wayne Jones,4
Geoffrey Onen,4
Nitan Kumar,4
Nandor Bezzeg,4
Sean McGowan,4
Patrick Ochieng,4
