Player,Skill Level
Max Hopp,8
Rowby-John Rodriguez,8
Paul Nicholson,8
Steve Beaton,7
Mark Webster,8
Boris Koltsov,7
Vincent van der Voort,8
Simon Whitlock,9
Michael van Gerwen,10
Sascha Stein,7
Robert Thornton,8
Daryl Gurney,9
Gary Anderson,9
Justin Pipe,8
Michael Smith,8
Devon Peterson,7
Ronny Huybrechts,6
Mike Zuydwijk,6
Christian Kist,6
Dave Chisnall,8
Christian Perez,7
Jamie Lewis,7
Terry Jenkins,7
Raymond van Barneveld,9
Dean Winstanley,7
Jamie Caven,7
Phil Taylor,9
John Weber,6
Kevin Painter,6
Keegan Brown,7
James Wade,9
Wes Newton,7
Mensur Suljovic,9
Dan Olsen,5
Nolan Arendse,5
Darren Webster,5
Brendan Dolan,7
Stephen Bunting,7
Andy Hamilton,6
Jelle Klaasen,7
Jermaine Wattimena,6
Adrian Lewis,7
Ian White,7
Lodewyk Marais,6
Scott Kirchner,6
Steve West,5
Peter Wright,9
Arron Monk,5
Laurence Ryder,6
Benito van de Pas,8
Kim Huybrechts,7
Ronnie Baxter,6
Mark McGrath,5
Kyle Anderson,7
Ryan de Vreede,6
Wesley Harms,5
Benjamin Daimoi,4
Scott Rand,5
Jan Dekker,5
Cristo Reyes,6
Mervyn King,5
Dave Richardson,5
Lindsay Wells,5
Per Laursen,4
Michael Mansell,4
Niels Jorgen Hansen,4
Matt Clark,4
Malik Abujamal,4
Joe Cullen,7
John Part,7
Maik Langendorf,5
Ron Meulencamp,5
Peter Sajwani,4
Stuart Kellett,5
Baha Mohammed,4
Carlos Rodriguez,5
Ron Miller,4
Shane Tichowitsch,4
Darin Young,4
Gerwyn Price,9
Katsuya Aiba,4
Morihiro Hashimoto,3
John Michael,3
Sami Sanssi,3
Robbie Green,3
Royden Lam,3
Anastasia Dobromyslova,6
Scott Wollaston,3
Steve Hine,3
Bob Sinnaeve,3
Alex Hon,4
Shaun Narain,4
Ibrahim Abuta,4
John Bowles,3
Haruki Muramatsu,4
Dennis Priestley,4
Shahnaz Amirmoez,3
Larry Butler,4
Wayne Jones,2
Jason Hogg,3
Glenn Spearing,3
Amit Gilitwala,3
John Henderson,6
Daniel Larsson,2
Hamza Karimi,2
Beau Anderson,5
Nandor Bezzeg,2
Andrew Gilding,3
Paul Lim,5
Bernd Roith,2
Zsolt Meszaros,3
Bill Davis,2
Richie Burnett,3
Bernie Miller,1
Krzysztof Chmielewski,2
Rob Modra,2
Jim Long,2
Ralph McCool,2
Chris White,2
Geert de Vos,4
Joseph Bbosa,3
Graham Filby,3
Radek Szaganski,2
Mario Portela,2
Ian Moss,2
Uki Takkinen,2
Andy Smith,2
Nitan Kumar,1
Kevin McDine,2
Rie Hoshino,5
Scott Mackenzie,5
Dennis Smith,3
Johnny Haines,1
Salmon Renyaan,2
Charl Pietersen,1
Jonathan Silcock,1
Jyhan Artut,1
Dylan Duo,1
Sean McGowan,1
Wayne Kelly,1
Geoffrey Onen,1
Kim Viljanen,3
Robert Marijanovic,3
William O'Connor,2
Dirk van Duijvenbode,5
Thanawat Gaweenuntawong,4
Terence Hallock,1
Diogo Portela,2
Aleksandr Oreshkin,4
